"Earthquake Phase","Event",00:00:00.000,0.0,00:00:25.000,25.0,00:00:25.000,25.0,"During"
"Environmental Cue","Environment",00:00:00.000,0.0,00:00:25.000,25.0,00:00:25.000,25.0,"Shaking"
"P_1","Grey top weading lady",00:00:00.000,0.0,00:00:03.525,3.525,00:00:03.525,3.525,"walking (id: 14490)"
"P_1","Grey top weading lady",00:00:03.525,3.525,00:00:07.564,7.564,00:00:04.039,4.039,"Bending (id: 14490)"
"P_1","Grey top weading lady",00:00:07.564,7.564,00:00:10.175,10.175,00:00:02.611,2.611,"walking (id: 14490)"
"P_1","Grey top weading lady",00:00:16.675,16.675,00:00:21.675,21.675,00:00:05.000,5.0,"evacuate (id: 14496)"
"P_2","red frock wearing girl",00:00:18.650,18.65,00:00:23.650,23.65,00:00:05.000,5.0,"evacuate (id: 14501)"
