"Earthquake phase","Event",00:00:00.020,0.02,00:00:16.666,16.666,00:00:16.646,16.646,"During"
"Environmental Cue","Environment",00:00:00.020,0.02,00:00:16.666,16.666,00:00:16.646,16.646,"Shaking"
"P_1","Person on bench",00:00:00.000,0.0,00:00:02.800,2.8,00:00:02.800,2.8,"sitting (id: 18240)"
"P_1","Person on bench",00:00:02.800,2.8,00:00:04.760,4.76,00:00:01.960,1.96,"standing (id: 18240)"
"P_1","Person on bench",00:00:04.760,4.76,00:00:07.900,7.9,00:00:03.140,3.14,"bending (id: 18240)"
"P_1","Person on bench",00:00:07.900,7.9,00:00:16.666,16.666,00:00:08.766,8.766,"running (id: 18281), (id: 18303)"
"P_2","Boy in water",00:00:00.020,0.02,00:00:01.380,1.38,00:00:01.360,1.36,"Lying down (id: 18229)"
"P_2","Boy in water",00:00:01.380,1.38,00:00:02.600,2.6,00:00:01.220,1.22,"sitting (id: 18229)"
"P_2","Boy in water",00:00:02.600,2.6,00:00:04.620,4.62,00:00:02.020,2.02,"standing - hold onto a structure (id: 18229)"
"P_3","Girl in water",00:00:00.000,0.0,00:00:01.380,1.38,00:00:01.380,1.38,"Lying down"
"P_3","Girl in water",00:00:01.380,1.38,00:00:02.680,2.68,00:00:01.300,1.3,"sitting"
"P_3","Girl in water",00:00:02.680,2.68,00:00:03.520,3.52,00:00:00.840,0.84,"swim"
"P_3","Girl in water",00:00:03.520,3.52,00:00:05.580,5.58,00:00:02.060,2.06,"hold onto a structure"
"P_3","Girl in water",00:00:08.120,8.12,00:00:11.940,11.94,00:00:03.820,3.82,"running (id: 18267), (id: 18288), (id: 18295)"
"Social Cue","People",00:00:04.060,4.06,00:00:04.340,4.34,00:00:00.280,0.28,"Following others’ instructions "
