"Earthquake phase","Event",00:00:00.020,0.02,00:00:17.241,17.241,00:00:17.221,17.221,"Immediately after"
"P_1","Man",00:00:00.060,0.06,00:00:02.020,2.02,00:00:01.960,1.96,"standing (id: 853)"
"P_1","Man",00:00:11.060,11.06,00:00:15.260,15.26,00:00:04.200,4.2,"running (id: 855)"
