"Earthquake phase","Event",00:00:00.000,0.0,00:00:16.666,16.666,00:00:16.666,16.666,"Immediately after"
"P_1","person hold onto a structure",00:00:00.020,0.02,00:00:08.460,8.46,00:00:08.440,8.44,"Drop and hold onto a structure (id: 4349)"
"P_1","person hold onto a structure",00:00:08.460,8.46,00:00:11.220,11.22,00:00:02.760,2.76,"standing (id: 4362)"
"P_1","person hold onto a structure",00:00:11.220,11.22,00:00:16.666,16.666,00:00:05.446,5.446,"Drop (id: 4362)"
"P_2","person near to P_1",00:00:00.040,0.04,00:00:04.820,4.82,00:00:04.780,4.78,"walking (id: 4340)"
"P_2","person near to P_1",00:00:04.820,4.82,00:00:08.960,8.96,00:00:04.140,4.14,"bending (id: "
"P_2","person near to P_1",00:00:08.960,8.96,00:00:16.666,16.666,00:00:07.706,7.706,"standing (id: 4366)"
"2_Participants","bikers",00:00:00.040,0.04,00:00:05.780,5.78,00:00:05.740,5.74,"standing"
"2_Participants","bikers",00:00:05.780,5.78,00:00:13.320,13.32,00:00:07.540,7.54,"walking - held each other (id: 4374)"
"2_Participants","bikers",00:00:13.320,13.32,00:00:16.666,16.666,00:00:03.346,3.346,"standing - held each other(id: 4374)"
