"Earthquake phase","Event",00:00:00.000,0.0,00:00:10.000,10.0,00:00:10.000,10.0,"Immediately after"
"P_1","wearing grey tshirt",00:00:00.000,0.0,00:00:04.890,4.89,00:00:04.890,4.89,"Standing (id: 14503)"
"P_1","wearing grey tshirt",00:00:04.890,4.89,00:00:09.110,9.11,00:00:04.220,4.22,"walking (id: 14503)"
"P_2","wearing red frock",00:00:00.010,0.01,00:00:03.370,3.37,00:00:03.360,3.36,"standing (id: 14504)"
"P_2","wearing red frock",00:00:03.370,3.37,00:00:06.560,6.56,00:00:03.190,3.19,"walking (id: 14504)"
