"Earthquake Phase","Event",00:00:00.000,0.0,00:00:05.050,5.05,00:00:05.050,5.05,"During"
"Environmental Cue","Environment",00:00:00.000,0.0,00:00:05.050,5.05,00:00:05.050,5.05,"Shaking"
"P_1","Man",00:00:00.000,0.0,00:00:03.790,3.79,00:00:03.790,3.79,"standing (id: 18761), (id: 18771), (id: 18788)"
"P_1","Man",00:00:03.790,3.79,00:00:04.660,4.66,00:00:00.870,0.87,"walking (id: 18771)"
"P_2","woman",00:00:00.020,0.02,00:00:04.170,4.17,00:00:04.150,4.15,"hold onto a structure (id: 18672)"
"P_2","woman",00:00:04.170,4.17,00:00:05.050,5.05,00:00:00.880,0.88,"held each other - walking (id: (id: 18672), (id: 18796)"
