"Earthquake Phase","Event",00:00:00.000,0.0,00:00:13.800,13.8,00:00:13.800,13.8,"During"
"Environmental Cue","Environment",00:00:00.000,0.0,00:00:13.800,13.8,00:00:13.800,13.8,"Shaking"
"Social Cue","People",00:00:00.000,0.0,00:00:13.800,13.8,00:00:13.800,13.8,"Seeing others taking actions "
"P_1","Male",00:00:00.000,0.0,00:00:03.200,3.2,00:00:03.200,3.2,"Lying down (id:  14454)"
"P_1","Male",00:00:03.200,3.2,00:00:06.486,6.486,00:00:03.286,3.286,"lying down(id: 14454)"
"P_1","Male",00:00:06.486,6.486,00:00:09.843,9.843,00:00:03.357,3.357," Semi reclined (id: 14454)"
"P_1","Male",00:00:09.843,9.843,00:00:13.800,13.8,00:00:03.957,3.957,"semi-reclined - held each other (id: 14454), (id: 14486), (id: 14489)"
"P_2","Female",00:00:00.000,0.0,00:00:03.043,3.043,00:00:03.043,3.043,"Lying down (id: 14453)"
"P_2","Female",00:00:03.043,3.043,00:00:13.800,13.8,00:00:10.757,10.757,"semi-reclined - held each other (id: 14462) (id: 14465), (id: 14456), (id: 14468), (id: 14476), (id: 14487)"
