"Earthquake phase","Event",00:00:00.029,0.029,00:00:16.333,16.333,00:00:16.304,16.304,"Immediately after"
"P_1","black top wearing lady",00:00:00.043,0.043,00:00:11.043,11.043,00:00:11.000,11.0,"bending (id: 3014), (id: 3037)"
"P_1","black top wearing lady",00:00:11.043,11.043,00:00:11.786,11.786,00:00:00.743,0.743,"standing (id: 3077)"
"P_1","black top wearing lady",00:00:11.786,11.786,00:00:14.871,14.871,00:00:03.085,3.085,"evacuating (id: 3077)"
"P_2","Man",00:00:00.014,0.014,00:00:07.957,7.957,00:00:07.943,7.943,"walking (id:3007)"
"P_2","Man",00:00:07.957,7.957,00:00:13.586,13.586,00:00:05.629,5.629,"carrying a child outside (id: 3007), (id: 3083)"
"P_3","white tshirt wearing girl",00:00:00.014,0.014,00:00:01.243,1.243,00:00:01.229,1.229,"walking (id: 3027)"
"P_3","white tshirt wearing girl",00:00:01.243,1.243,00:00:04.200,4.2,00:00:02.957,2.957,"bending (id: 3027), (id: 3040)"
"P_3","white tshirt wearing girl",00:00:04.200,4.2,00:00:10.757,10.757,00:00:06.557,6.557,"evacuating (id: 3060), (id: 3040)"
