"Earthquake phase","Event",00:00:00.020,0.02,00:00:14.965,14.965,00:00:14.945,14.945,"During"
"Environmental Cue","Environment",00:00:00.020,0.02,00:00:14.965,14.965,00:00:14.945,14.945,"Shaking"
"P_1","Lady",00:00:00.020,0.02,00:00:05.260,5.26,00:00:05.240,5.24,"held each other - standing (id: 18182), (id: 18195)"
"P_1","Lady",00:00:05.340,5.34,00:00:09.020,9.02,00:00:03.680,3.68,"walking (id: 18206), (id: 18208), (id: 18210)"
"P_1","Lady",00:00:09.020,9.02,00:00:14.340,14.34,00:00:05.320,5.32,"held each other - standing (id: 18210)"
"C_1","Child",00:00:00.000,0.0,00:00:04.700,4.7,00:00:04.700,4.7,"standing - held each other (id: 18168), (id: 18177)"
"C_1","Child",00:00:04.700,4.7,00:00:08.980,8.98,00:00:04.280,4.28,"standing (id: 18195), (id: 18205), (id: 18208)"
"C_1","Child",00:00:08.980,8.98,00:00:14.360,14.36,00:00:05.380,5.38,"held each other - standing"
