"Earthquake phase","Event",00:00:00.020,0.02,00:00:17.241,17.241,00:00:17.221,17.221,"Immediately after"
"P_1","Man",00:00:00.040,0.04,00:00:05.340,5.34,00:00:05.300,5.3,"moving under a furniture (id: 849)"
"P_1","Man",00:00:05.340,5.34,00:00:07.660,7.66,00:00:02.320,2.32,"standing (id: 849)"
"P_1","Man",00:00:07.660,7.66,00:00:17.241,17.241,00:00:09.581,9.581,"walking (id: 849), (id: 852)"
