"Earthquake Phase","Event",00:00:00.010,0.01,00:00:07.333,7.333,00:00:07.323,7.323,"During"
"Environmental cue","Environment",00:00:00.010,0.01,00:00:07.333,7.333,00:00:07.323,7.323,"Shaking"
"P_1","1st row, 1st child, near camera",00:00:00.000,0.0,00:00:02.230,2.23,00:00:02.230,2.23,"Move under furniture"
"P_1","1st row, 1st child, near camera",00:00:02.230,2.23,00:00:03.050,3.05,00:00:00.820,0.82,"standing (id: 20089)"
"P_1","1st row, 1st child, near camera",00:00:03.050,3.05,00:00:05.790,5.79,00:00:02.740,2.74,"evacuate (id: 20099), (id: 20135)"
"P_2","child next to P_1",00:00:00.000,0.0,00:00:02.420,2.42,00:00:02.420,2.42,"moove under furniture"
"P_2","child next to P_1",00:00:02.420,2.42,00:00:02.930,2.93,00:00:00.510,0.51,"standing (id: 20086)"
"P_2","child next to P_1",00:00:02.930,2.93,00:00:04.860,4.86,00:00:01.930,1.93,"evacuate (id: 20086)"
"P_3","yellow wearing child",00:00:00.010,0.01,00:00:02.200,2.2,00:00:02.190,2.19,"move under furniture"
"P_3","yellow wearing child",00:00:02.200,2.2,00:00:02.670,2.67,00:00:00.470,0.47,"standing (id: 20085)"
"P_3","yellow wearing child",00:00:02.670,2.67,00:00:04.110,4.11,00:00:01.440,1.44,"evacuate (id: 20088)"
"P_4","child next to P_3",00:00:00.000,0.0,00:00:02.520,2.52,00:00:02.520,2.52,"move under furniture"
"P_4","child next to P_3",00:00:02.520,2.52,00:00:03.810,3.81,00:00:01.290,1.29,"evacuate (id: 20092)"
"P_5","child run after  P_1",00:00:00.010,0.01,00:00:02.840,2.84,00:00:02.830,2.83,"move under furniture"
"P_5","child run after  P_1",00:00:02.840,2.84,00:00:03.320,3.32,00:00:00.480,0.48,"standing"
"P_5","child run after  P_1",00:00:03.320,3.32,00:00:05.910,5.91,00:00:02.590,2.59,"evacuate (id: 20115), (id: 20124), (id: 20099)"
"P_6","child run after P_5",00:00:00.000,0.0,00:00:03.150,3.15,00:00:03.150,3.15,"move under furniture"
"P_6","child run after P_5",00:00:03.150,3.15,00:00:05.960,5.96,00:00:02.810,2.81,"evacuate (id: 20137)"
"P_7","child run after P_6",00:00:00.000,0.0,00:00:03.080,3.08,00:00:03.080,3.08,"move under furniture"
"P_7","child run after P_6",00:00:03.080,3.08,00:00:05.950,5.95,00:00:02.870,2.87,"evacuate (id: 20133), (id: 20123)"
"15_Participants","students",00:00:00.000,0.0,00:00:03.270,3.27,00:00:03.270,3.27,"move under furniture"
"15_Participants","students",00:00:03.270,3.27,00:00:07.333,7.333,00:00:04.063,4.063,"evacuate"
"Social cue","students",00:00:00.000,0.0,00:00:07.333,7.333,00:00:07.333,7.333,"Following others’ instructions "
