"Earthquake phase","Event",00:00:00.085,0.085,00:00:02.767,2.767,00:00:02.682,2.682,"Before"
"Earthquake phase","Event",00:00:02.767,2.767,00:00:13.417,13.417,00:00:10.650,10.65,"During"
"Environmental Cue","Environment",00:00:02.767,2.767,00:00:13.417,13.417,00:00:10.650,10.65,"Shaking"
"P_1","female lying on the bed",00:00:00.017,0.017,00:00:04.500,4.5,00:00:04.483,4.483,"Lying down"
"P_1","female lying on the bed",00:00:04.500,4.5,00:00:13.450,13.45,00:00:08.950,8.95,"Held each other"
"Baby","Baby",00:00:00.033,0.033,00:00:13.467,13.467,00:00:13.434,13.434,"Lying down"
