"Earthquake phase","Event",00:00:00.040,0.04,00:00:17.241,17.241,00:00:17.201,17.201,"Immediately after"
"P_1","who stand 1st",00:00:00.040,0.04,00:00:07.760,7.76,00:00:07.720,7.72,"walking (id: 7347)"
"P_1","who stand 1st",00:00:07.760,7.76,00:00:11.800,11.8,00:00:04.040,4.04,"standing (id: 7347)"
"P_1","who stand 1st",00:00:11.800,11.8,00:00:13.020,13.02,00:00:01.220,1.22,"evacuating (id: 7347)"
"7_Participants","people undr furniture",00:00:00.020,0.02,00:00:14.540,14.54,00:00:14.520,14.52,"move under furniture (id: 7325, 7354, 7355, 7358, 7359)"
"7_Participants","people undr furniture",00:00:14.540,14.54,00:00:17.241,17.241,00:00:02.701,2.701,"standing (id: 7358, 7371, 7373, 7370, 7372, 7378, 7383, 7382)"
