"Environmental Cue","Environment",00:00:00.025,0.025,00:00:08.025,8.025,00:00:08.000,8.0,"During"
"P_1","Male",00:00:00.000,0.0,00:00:00.463,0.463,00:00:00.463,0.463,"Walking (id: 12075), (id: 12079)"
"P_1","Male",00:00:00.463,0.463,00:00:08.050,8.05,00:00:07.587,7.587,"Hold onto a structure (id: 12080)"
