"Earthquake phase","Event",00:00:00.067,0.067,00:00:24.600,24.6,00:00:24.533,24.533,"Immediately after"
"2_Participants","black uniform wearing people",00:00:00.067,0.067,00:00:11.500,11.5,00:00:11.433,11.433,"standing (id: 7091)"
"2_Participants","black uniform wearing people",00:00:11.500,11.5,00:00:15.167,15.167,00:00:03.667,3.667,"walking (id: 7091)"
"2_Participants","black uniform wearing people",00:00:15.167,15.167,00:00:24.600,24.6,00:00:09.433,9.433,"standing (id: 7091)"
"5_Participants","people came and walking",00:00:00.100,0.1,00:00:24.600,24.6,00:00:24.500,24.5,"walking"
"P_1","person near scanner",00:00:00.167,0.167,00:00:13.067,13.067,00:00:12.900,12.9,"standing"
"P_1","person near scanner",00:00:13.067,13.067,00:00:18.967,18.967,00:00:05.900,5.9,"walking (id: 7097)"
"P_1","person near scanner",00:00:18.967,18.967,00:00:24.600,24.6,00:00:05.633,5.633,"walking (id: 7097)"
