"Earthquake Phase","Event",00:00:00.000,0.0,00:00:19.800,19.8,00:00:19.800,19.8,"During"
"Environmental Cue","Environment",00:00:00.016,0.016,00:00:19.810,19.81,00:00:19.794,19.794,"Shaking"
"Person_1","Person_1",00:00:00.000,0.0,00:00:03.377,3.377,00:00:03.377,3.377,"Sitting (id: 12452)"
"Person_1","Person_1",00:00:03.377,3.377,00:00:04.049,4.049,00:00:00.672,0.672,"Standing (id:12480)"
"Person_1","Person_1",00:00:04.049,4.049,00:00:06.215,6.215,00:00:02.166,2.166,"Walking (id:12490), (id:12501)"
"Person_1","Person_1",00:00:06.215,6.215,00:00:19.810,19.81,00:00:13.595,13.595,"Hold on to a structure"
