"Earthquake Phase","Event",00:00:00.000,0.0,00:00:03.333,3.333,00:00:03.333,3.333,"During"
"Environmental Cue","Environment",00:00:00.000,0.0,00:00:03.333,3.333,00:00:03.333,3.333,"Shaking"
"P_1","red color wearing person",00:00:00.000,0.0,00:00:03.333,3.333,00:00:03.333,3.333,"Drop and hold onto a structure (id: 14147)"
"P_2","Brown color wearing person",00:00:00.000,0.0,00:00:03.333,3.333,00:00:03.333,3.333,"Drop and hold onto a structure (id: 14112)"
"P_3","Next to P_2",00:00:00.006,0.006,00:00:02.871,2.871,00:00:02.865,2.865,"Drop and hold onto a structure (id: 14160)"
"P_4","Infront of P_3",00:00:00.000,0.0,00:00:00.559,0.559,00:00:00.559,0.559,"Drop and hold onto a structure"
"P_5","Standing person",00:00:00.000,0.0,00:00:00.588,0.588,00:00:00.588,0.588,"Standing (id: 14162)"
